# 出現フレーム, 敵の種類, 振る舞いの種類, x, y, z,

#UFO
10,1,0,  80.0,  30.0,  0.0,
30,1,0,  80.0,  30.0,  0.0,
50,1,0,  80.0,  30.0,  0.0,
70,1,0,  80.0,  30.0,  0.0,
90,1,0,  80.0,  30.0,  0.0,
110,1,0,  80.0,  30.0,  0.0,
130,1,0,  80.0,  30.0,  0.0,

#UFO
20,1,0,  -80.0,  -30.0,  0.0,
40,1,0,  -80.0,  -30.0,  0.0,
60,1,0,  -80.0,  -30.0,  0.0,
80,1,0,  -80.0,  -30.0,  0.0,
100,1,0,  -80.0,  -30.0,  0.0,
120,1,0,  -80.0,  -30.0,  0.0,
140,1,0,  -80.0,  -30.0,  0.0,

#UFO
400,1,0,  80.0,  30.0,  0.0,
410,1,0,  80.0,  30.0,  0.0,
420,1,0,  80.0,  30.0,  0.0,
430,1,0,  80.0,  30.0,  0.0,
440,1,0,  80.0,  30.0,  0.0,
450,1,0,  80.0,  30.0,  0.0,
460,1,0,  80.0,  30.0,  0.0,

#UFO
390,1,0,  -80.0,  -30.0,  0.0,
400,1,0,  -80.0,  -30.0,  0.0,
410,1,0,  -80.0,  -30.0,  0.0,
420,1,0,  -80.0,  -30.0,  0.0,
430,1,0,  -80.0,  -30.0,  0.0,
440,1,0,  -80.0,  -30.0,  0.0,
450,1,0,  -80.0,  -30.0,  0.0,

#モアイ
1000,2,0, 40,-20,800,
1000,2,0, -40,20,800,
1100,2,0, 40,20,800,
1100,2,0, -40,-20,800,

#UFO
1500,1,0,  80.0,  30.0,  0.0,
1510,1,0,  80.0,  30.0,  0.0,
1520,1,0,  80.0,  30.0,  0.0,
1530,1,0,  80.0,  30.0,  0.0,
1540,1,0,  80.0,  30.0,  0.0,
1550,1,0,  80.0,  30.0,  0.0,
1560,1,0,  80.0,  30.0,  0.0,

#UFO
1590,1,0,  -80.0,  -30.0,  0.0,
1600,1,0,  -80.0,  -30.0,  0.0,
1610,1,0,  -80.0,  -30.0,  0.0,
1620,1,0,  -80.0,  -30.0,  0.0,
1630,1,0,  -80.0,  -30.0,  0.0,
1640,1,0,  -80.0,  -30.0,  0.0,
1650,1,0,  -80.0,  -30.0,  0.0,
